month,model,smearing_factor
2025-01,history_only,1.2067286787235414
2025-01,history_plus_option_level,1.1596715046740549
2025-01,history_plus_level_plus_skew,1.1587706726234959
2025-02,history_only,1.2103877570822021
2025-02,history_plus_option_level,1.1616715990911335
2025-02,history_plus_level_plus_skew,1.160769814180316
2025-03,history_only,1.2152018738073331
2025-03,history_plus_option_level,1.1634494358100735
2025-03,history_plus_level_plus_skew,1.1627386244948863
2025-04,history_only,1.2132365897054738
2025-04,history_plus_option_level,1.1621319724425203
2025-04,history_plus_level_plus_skew,1.1613790003652422
2025-05,history_only,1.2157919853762782
2025-05,history_plus_option_level,1.1638869332402644
2025-05,history_plus_level_plus_skew,1.1631535562340647
2025-06,history_only,1.2161336692649007
2025-06,history_plus_option_level,1.1642409222767993
2025-06,history_plus_level_plus_skew,1.1634697992186476
2025-07,history_only,1.2181311938723751
2025-07,history_plus_option_level,1.1664869488538203
2025-07,history_plus_level_plus_skew,1.1658059691023257
2025-08,history_only,1.2158657256190013
2025-08,history_plus_option_level,1.1651394508266086
2025-08,history_plus_level_plus_skew,1.1646110207037377
2025-09,history_only,1.214253426808919
2025-09,history_plus_option_level,1.1641863366812029
2025-09,history_plus_level_plus_skew,1.163775056810501
2025-10,history_only,1.2131309341824175
2025-10,history_plus_option_level,1.1652999910249553
2025-10,history_plus_level_plus_skew,1.1647255119087896
2025-11,history_only,1.210030937296015
2025-11,history_plus_option_level,1.1640805196966941
2025-11,history_plus_level_plus_skew,1.1633450773848137
2025-12,history_only,1.2084679496154682
2025-12,history_plus_option_level,1.1624995267480076
2025-12,history_plus_level_plus_skew,1.1618624684895649
2026-01,history_only,1.2064590368170054
2026-01,history_plus_option_level,1.160913430474795
2026-01,history_plus_level_plus_skew,1.160208551439518
2026-02,history_only,1.2045908805386683
2026-02,history_plus_option_level,1.1605413662399662
2026-02,history_plus_level_plus_skew,1.1598710208987817
2026-03,history_only,1.2090048069719195
2026-03,history_plus_option_level,1.1600681152269694
2026-03,history_plus_level_plus_skew,1.159341170316757
2026-04,history_only,1.2072584451463753
2026-04,history_plus_option_level,1.1600970674529518
2026-04,history_plus_level_plus_skew,1.1594212199185627
2026-05,history_only,1.2051917664904086
2026-05,history_plus_option_level,1.159544647709783
2026-05,history_plus_level_plus_skew,1.1589281191369778
