metric,mean_diff_plus_shape_minus_level,ci_lo_95,ci_hi_95,p_non_improvement_one_sided
brier,-0.03890379128866102,-0.110291217589923,0.03764081843663075,0.15535
logloss,-0.05978666519031868,-0.22731476065764736,0.12267737258115706,0.25155
