model,n,qlike,log_rmse,median_abs_pct_error,corr_variance,mean_actual_variance,mean_predicted_variance
history_plus_option_level,337,0.1457892791967887,0.5550804673615323,0.3437292714806928,0.6021056790864193,2.49802909270443e-05,2.509716747534914e-05
history_plus_level_plus_skew,337,0.14586757468033681,0.5582044498806494,0.36003837050819354,0.604186139330322,2.49802909270443e-05,2.527661937180348e-05
history_only,337,0.18195623521518486,0.6334587059257454,0.38216072786766586,0.42891778210819803,2.49802909270443e-05,2.6943359565776357e-05
