event,metric,mean_diff_plus_shape_minus_level,ci_lo_95,ci_hi_95,p_non_improvement_one_sided
two_sided_1sigma,brier,0.0019972223102879658,-0.0048316025012726015,0.008480027377315827,0.7256
two_sided_1sigma,logloss,0.005147484489263124,-0.010154706301787221,0.01962117448694537,0.75785
down_1sigma,brier,-0.0003330669645356485,-0.022732382892982163,0.020957350708487463,0.49345
down_1sigma,logloss,-0.009120714590725828,-0.08571597775846734,0.061561680392612866,0.4135
up_1sigma,brier,-0.009254000649343827,-0.01981589225363264,0.0010249493856964778,0.03835
up_1sigma,logloss,-0.0215585327258063,-0.05427521761490213,0.015166680341368168,0.11465
