Task,N / events,Brier: level,Brier: +shape,Delta Brier,AUC: level,AUC: +shape,Widths improved
Any one-scale breach,73 / 23,0.22676220206823444,0.2287678227493025,0.002005620681068049,0.5008695652173913,0.4930434782608696,0/8
Downside breach,73 / 13,0.15643739428315634,0.15613101327018897,-0.00030638101296737164,0.5743589743589744,0.5961538461538461,4/8
Upside breach,73 / 10,0.12268109852825204,0.11343915615847855,-0.009241942369773493,0.6047619047619048,0.6349206349206349,8/8
Direction given a breach*,23 / 13,0.26320417894754783,0.22410017127644521,-0.039104007671102614,0.6307692307692307,0.6846153846153846,8/8
