width_index,event,diff_brier_plus_shape_minus_level,diff_logloss_plus_shape_minus_level,diff_auc_plus_shape_minus_level,coef_skew_standardized,coef_tailratio_standardized
1,two_sided_1sigma,0.002701730300432692,0.008312456574362415,-0.001739130434782632,-0.20995357086335523,-0.04656410785236321
1,down_1sigma,0.001813226056307321,-0.0062080929401582274,-0.002564102564102666,-0.2098242086769242,0.7554695479827859
1,up_1sigma,-0.0072174988861958,-0.018801622088207348,0.01904761904761898,-0.1840108676946752,-0.6002190114167473
1,down_given_1sigma_breach,-0.035639235326221874,-0.06378873643328808,0.03076923076923077,0.032586117140212055,0.9652009083182127
2,two_sided_1sigma,0.0018833689080618443,0.008271162095560225,0.0,-0.21926973445757422,-0.13875894832975516
2,down_1sigma,0.00014645908597588075,-0.00697226701036735,0.0,-0.3045944961561026,0.5465577294588531
2,up_1sigma,-0.007544303101491845,-0.018908968631110967,0.01904761904761898,-0.12553131574687942,-0.5535722149271485
2,down_given_1sigma_breach,-0.035698658095348196,-0.06343169443591778,0.0461538461538461,-0.07489460570941639,0.8094454887936049
3,two_sided_1sigma,0.0011553073068777397,0.005289650373095145,0.004347826086956497,-0.17890815894148754,-0.11182139227731375
3,down_1sigma,0.0009457980442795222,-0.006390710640132136,0.014102564102564052,-0.32034149069441503,0.6210596310249098
3,up_1sigma,-0.008520182259191864,-0.020117648094023888,0.02063492063492056,-0.07474460169155953,-0.5994921053533517
3,down_given_1sigma_breach,-0.03734159524057401,-0.061781758995318015,0.023076923076923106,-0.1616607688754231,0.8841379435650748
4,two_sided_1sigma,0.00015379410627505696,0.004090664869146443,0.0017391304347825765,-0.1578387120112816,-0.15529706743783217
4,down_1sigma,-0.0002715013117811915,-0.00845700270395533,0.024358974358974272,-0.4077538938925622,0.49185103718996553
4,up_1sigma,-0.009571577662730466,-0.02236830535487866,0.02857142857142847,0.0014126200263489459,-0.5832160702456081
4,down_given_1sigma_breach,-0.03892090778789964,-0.06203726640776186,0.04615384615384621,-0.2802100863828618,0.8068286626369353
5,two_sided_1sigma,0.0016259151921088344,0.0033012104858962665,-0.003478260869565264,-0.0924099917425096,0.009051317065702552
5,down_1sigma,0.000496422965514054,-0.007591876599072622,0.012820512820512775,-0.4154735106542021,0.5010732116578341
5,up_1sigma,-0.00924914549566512,-0.02219060064266809,0.03174603174603163,0.08906932439002445,-0.37914246417345254
5,down_given_1sigma_breach,-0.04046938699107369,-0.06417055456357501,0.038461538461538436,-0.3446654698686609,0.7194725903840562
6,two_sided_1sigma,0.0019541138655502777,0.003078328174004108,-0.00260869565217392,-0.05154789877822208,0.05470934431150558
6,down_1sigma,-0.0011542359737983232,-0.012513236674844053,0.02051282051282055,-0.452773109130747,0.3935010286580471
6,up_1sigma,-0.009954193071105469,-0.02514239354727249,0.04603174603174598,0.18054594990163242,-0.23342779380505355
6,down_given_1sigma_breach,-0.04669821417586845,-0.07980437313595856,0.04615384615384621,-0.45552040048235404,0.5648062994005841
8,two_sided_1sigma,0.0031447572241141697,0.0046988565589277664,0.0017391304347825765,-0.04450589276502858,0.09490824477623316
8,down_1sigma,-0.003945320140456482,-0.020354115443490972,0.04102564102564099,-0.5302934874429346,0.16330387645307184
8,up_1sigma,-0.010321425864874792,-0.027366660594556003,0.061904761904761796,0.2663870593220093,0.000265109782768393
8,down_given_1sigma_breach,-0.05547434132689236,-0.10102838018710114,0.05384615384615388,-0.5654829740075117,0.35390552013814924
10,two_sided_1sigma,0.005719482258415121,0.00898917342125749,0.003478260869565153,-0.037778180595504245,0.1683947450536813
10,down_1sigma,-0.005862698739062172,-0.02877088262091948,0.04743589743589738,-0.4843100471377926,0.045254387264847935
10,up_1sigma,-0.007485377441033697,-0.020182984922151814,0.07460317460317445,0.26602012224916655,0.18569877598431705
10,down_given_1sigma_breach,-0.058458522943579866,-0.11963470100284224,0.06153846153846165,-0.5146811226368573,0.13425055377094686
