event,coef_log_cal,coef_log_rv5,coef_log_rv20,coef_abs_ret1,coef_abs_ret5,coef_abs_gap,coef_range_day,coef_log_iv_scale,coef_log_atm_iv,coef_skew_factor,coef_tail_factor
two_sided_1sigma,0.2422427594798076,-0.2962130388879764,0.04477193114590568,0.00396985314917096,-0.14651963965376055,0.35276462628511895,0.3131563088504653,-0.11794441195904103,-0.18328031903562922,-0.13021544731830953,-0.02721398507747473
down_1sigma,0.5590921766907975,0.1955611359429926,-0.01606576751818114,-0.20610806155709177,-0.686462912630836,0.4662779030375135,0.3654902680669327,-0.1329883218560433,-0.2858263111953255,-0.40342724292119464,0.4592155070716266
up_1sigma,0.1237450841824017,-0.524190902914355,0.021799029909363006,0.21843601833378062,0.23730999332590916,0.15859686108797022,0.11493446665709957,-0.04426584539014176,-0.07787608670242861,0.05076689068554191,-0.38886692780844156
down_given_1sigma_breach,0.2623634780283516,0.33491422718786634,-0.29598674205776776,-0.28582677910220655,-0.7254433091781476,0.37500200448434734,0.1520562810837262,0.009538806944115682,-0.0398036803377946,-0.30044716824321643,0.7014632605190633
