model,n,events,rate,brier,logloss,auc
level_controls,23,13,0.5652173913043478,0.26320417894754783,0.7273007397572055,0.6307692307692307
plus_shape,23,13,0.5652173913043478,0.22410017127644521,0.6670552298238377,0.6846153846153846
